ADI,ABR,19,11
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ANND,19,88
ADI,ASV,19,121
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,BRC,19,385
ADI,DHG,19,688
ADI,DHG,19,688
ADI,DHG,19,688
ADI,JVN,19,1193
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MAN,19,1571
ADI,MHD,19,1633
ADI,MHD,19,1633
ADI,MHD,19,1633
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,MSH,19,1767
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,ND,19,1853
ADI,PNU,19,2107
ADI,PNU,19,2107
ADI,RJT,19,2233
ADI,SAU,19,2331
ADI,SAU,19,2331
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SBI,19,2341
ADI,SIOB,19,2433
ADI,SUNR,19,2582
ADI,SUNR,19,2582
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADI,VG,19,2804
ADR,BHT,20,248
ADR,HSR,20,1055
ADRA,ANR,21,90
ADRA,ANR,21,90
